index;url;website;thecorner;macif;advango;igraal;widilo
1;abritel;Abritel;x;;;;
2;adidas;Adidas;x;;;;
3;airbnb;Airbnb;x;;;;
4;alamo;Alamo;x;;;;
5;amazon.fr;Amazon;x;;;;
6;ampm;AMPM;x;x;;;
7;asos;ASOS;x;;;;
8;auchan.fr;Auchan;x;;x;;
9;azureva;Azureva;x;;;;
10;babbel;Babbel;x;;;;
11;belambra;Belambra;x;x;;;
12;booking.com;booking.com;x;x;;;
13;carrefour;Carrefour;x;;;;
14;casino;Casino;x;;;;
15;castorama;Castorama;x;;;;
16;cdiscount;Cdiscount;x;x;;;
17;celio;Celio;x;;;;
18;centerparcs.fr;Center Parcs;x;x;;;
19;cgr;CGR;x;;;;
20;cheerz;Cheerz;x;x;;;
21;conforama;Conforama;x;x;;;
22;converse;Converse;x;;;;
23;cultura;Cultura;x;x;;;
24;darty;Darty;x;x;;;
25;decathlon ;Decathlon ;x;;;;
26;deezer;Deezer;x;;;;
27;dpam.com;Du Pareil au Même;x;;;;
28;enterprise;Enterprise;x;;;;
29;europcar;Europcar;x;x;;;
30;expedia;Expedia;x;x;;;
31;fnac;Fnac;x;x;;;
32;galerieslafayette.com;Galeries Lafayette;x;x;;;
33;garmin;Garmin;x;x;;;
34;geantcasino.fr;Géant Casino;x;;;;
35;go-sport.com;GO Sport;x;x;;;
36;google.com;google.com;;;;;
37;greenweez;Greenweez;x;;;;
38;hm.com;H&M;x;;;;
39;hotel.com;Hotels;x;x;;;
40;hp.com;HP;x;x;;;
41;i-run;I-RUN;x;;;;
42;ikea;IKEA;x;x;;;
43;interflora;Interflora;x;x;;;
44;keepcool.fr;Keep Cool;x;;;;
45;la cité de l’espace;La Cité de l’Espace;x;;;;
46;la grande récré;La Grande Récré;x;;;;
47;la redoute;La Redoute;x;;;;
48;lacoste;Lacoste;x;;;;
49;bhv.fr;Le BHV;x;x;;;
50;leroymerlin.fr;Leroy Merlin;x;;;;
51;gentlemen-demenagement-andre.com;Les GDD;x;;;;
52;maisonsdumonde.com;Maisons du Monde;x;;;;
53;marionnaud;Marionnaud;x;x;;;
54;mmv;MMV;x;;;;
55;monoprix;Monoprix;x;;;;
56;natalys;Natalys;x;;;;
57;national;National;x;;;;
58;natures&découvertes;Natures&Découvertes;x;;;;
59;netski;Netski;x;x;;;
60;nike;Nike;x;;;;
61;odalys;Odalys;x;x;;;
62;okaïdi;Okaïdi;x;;;;
63;orchestra;Orchestra;x;;;;
64;ovoyages;Ovoyages;x;;;;
65;oxybul;Oxybul;x;x;;;
66;parc spirou;Parc Spirou;x;;;;
67;pathe.fr;Pathé Gaumont;x;;;;
68;promosejours.com;Promoséjours;x;x;;;
69;quitoque;Quitoque;x;;;;
70;reebok;Reebok;x;x;;;
71;sergent major;Sergent Major;x;;;;
72;spartoo;Spartoo;x;;;;
73;terrabotanica.fr;Terra Botanica;x;;;;
74;thekooples.com;The Kooples;x;;;;
75;tohapi;Tohapi;x;x;;;
76;truffaut;Truffaut;x;x;;;
77;ubereats.com;Uber Eats;x;;;;
78;uber.com;Uber VTC;x;;;;
79;vestiairecollective.com;Vestiaire collective;x;;;;
80;vvf.fr;VVF Villages;x;;;;
81;wonderbox;Wonderbox;x;;;;
82;yves-rocher.fr;Yves Rocher ;x;x;;;
83;zalando;Zalando;x;x;;;
84;suisses.fr;suisses;;x;;;
85;abrideal;abrideal;;x;;;
86;action-sejours;action-sejours;;x;;;
87;adagio;adagio;;x;;;
88;adidas;adidas;;x;;;
89;aec;aec;;x;;;
90;allodiagnostic;allodiagnostic;;x;;;
91;allovoisins;allovoisins;;x;;;
92;american-village;american-village;;x;;;
93;anacours;anacours;;x;;;
94;aterno;aterno;;x;;;
95;audika;audika;;x;;;
96;auto-avantages;auto-avantages;;x;;;
97;autosur;autosur;;x;;;
